Name,Category,GPLCompatible,MayAcceptWarrantyOrAdditionalLiability,MayAddDifferentLicenseTermsToYourModifications,MayAddOwnNoticesInDerivative,MayAddYourOwnCopyrightStatementToYourModifications,MayAskDistributionFee,MayCombineLibraries,MayCopy,MayDistributeInObjectForm,MayDistributeInSourceForm,MayGrantPatents,MayMakeDerivativeWorks,MayPubliclyDisplay,MayPubliclyPerform,MaySublicense,MaySublicenseDerivative,MayUseCommercially,MustAddModificationNotice,MustAddStatementForAdditionalTerms,MustDistributeCopiesOfOriginalWorkOrInstructionHowToGetThem,MustDistributeCopyOfLicense,MustDistributeCopyOfNoticeText,MustIndemnifyOriginatorIfLiabilityOccurs,MustMarkLicenseTermModifications,MustMarkModifications,MustMentionOriginator,MustNotMisrepresentOrigin,MustOfferSourceCode,MustPublishAsLibraryTheModifiedVersion,MustRenameModifiedVersion,MustRequestPermissionForPromotion,MustRetainAllNotices,MustRetainCopyrightNotice,MustRetainDisclaimer,NoPermissionToUseTrademarks,DynamicLinkingNotCoveredByLicense,LimitedLiability,PatentCancelUponClaim,ProvidedWithoutWarranties,OSI Approved?,InteractingOverNetwork,DynamicLinking,GoverningLaw,ViolationOccursAndLicenseTerminated,WidelyUsedAndPopular
0BSD,permissive,yes,,,,,yes,,yes,yes,yes,,yes,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,yes,yes,,yes,,,
AAL,permissive,yes,,,,,,,yes,yes,yes,,yes,,,,yes,yes,,,,yes,,,,,yes,,,,,yes,yes,,,,,yes,,yes,yes,,yes,,,
AFL-1.1,permissive,yes,,,,,,,yes,yes,yes,,yes,yes,yes,yes,yes,yes,,,yes,,,,,,,,yes,,,yes,yes,yes,,yes,,yes,yes,yes,yes,,yes,,,
AGPL-3.0-only,strong,only3,yes,yes,yes,,yes,,yes,yes,yes,,yes,yes,yes,,,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,,,,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,yes,yes
Apache-2.0,permissive,only3,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,,,,,,,,,,yes,yes,,yes,,yes,yes,yes,yes,,yes,,,yes
Artistic-2.0,weak,yes,,,,,yes,,yes,yes,yes,yes,yes,,,,yes,yes,,,yes,yes,,,,yes,,,yes,,yes,,,,yes,yes,,yes,yes,yes,yes,,yes,,,
BSD-2-Clause,permissive,yes,,,,,,,yes,yes,yes,,yes,,,yes,yes,yes,,,,,,,,,,,,,,,yes,yes,yes,,,yes,,yes,yes,,yes,,,yes
BSD-3-Clause,permissive,yes,,,,,,,yes,yes,yes,,yes,,,yes,yes,yes,,,,,,,,,,,,,,yes,yes,yes,yes,yes,,yes,,yes,yes,,yes,,,yes
Caldera,permissive,yes,,,,,,,yes,yes,yes,,yes,,,yes,yes,yes,,,,,,,,,,,,,,yes,,yes,yes,,,yes,,yes,,,yes,,,
CDDL-1.0,weak,,yes,,,,,,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,yes,yes,,yes,yes,yes,,,yes,,,,yes,yes,,yes,,yes,yes,yes,yes,,yes,yes,yes,
CECILL-2.0,weak,yes,,,,,,,yes,yes,yes,,yes,yes,yes,,yes,yes,,,,yes,,,,yes,,,yes,,,,yes,,,,,yes,,yes,,,yes,yes_g,yes,
CPL-1.0,weak,,,,,,,,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,,yes,,,,,,,yes,,,,,yes,,,,yes,yes,yes,yes,,yes,yes_g,yes,
CPOL-1.02,strong,,,,,,,,yes,yes,yes,yes,yes,,,,,yes,yes,,,yes,,,,,,yes,yes,,,yes,yes,yes,yes,,,yes,yes,yes,,,yes,yes,yes,
curl,permissive,yes,,,,,,,yes,yes,yes,,yes,,,yes,yes,yes,,,,,,,,,,,,,,yes,yes,yes,,,,yes,,yes,,,yes,,,
EPL-1.0,weak,,,,,yes,,,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,yes,yes,,,,,,,yes,,,,,yes,,,,yes,yes,yes,yes,,yes,yes_g,yes,
EPL-2.0,weak,yes,,,,yes,,,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,yes,yes,,,,,,,yes,,,,,yes,,,,yes,yes,yes,yes,,yes,yes,yes,yes
EUPL-1.1,weak,,yes,,,,yes,,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,yes,,yes,,,yes,,,,yes,yes,yes,yes,,yes,,yes,yes,,yes,yes_g,yes,
GPL-2.0-only,strong,only,yes,,,,yes,,yes,yes,yes,,yes,,,,,yes,yes,,yes,yes,yes,,,,,,yes,,,,yes,yes,yes,,,yes,,yes,yes,,,yes,,yes
GPL-3.0-only,strong,only3,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,,,,yes,yes,yes,yes,,yes,yes,yes,yes,,,yes,yes,yes
IPL-1.0,strong,,,,,,,,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,,yes,yes,,,,,yes,,yes,,,,yes,,,,,yes,yes,yes,,,yes,yes_g,yes,
LGPL-2.1-only,weak,only,yes,,,,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,yes,yes,,,yes,,,yes,yes,,,yes,yes,yes,,yes,yes,,yes,yes,,yes,yes,yes,yes
LGPL-3.0-only,weak,only3,,,,,yes,yes,yes,yes,yes,,yes,,,,yes,yes,yes,yes,,yes,,,,yes,,yes,yes,yes,,,yes,yes,,,,yes,,yes,yes,,yes,yes,yes,yes
libpng,permissive,yes,,,,,,,yes,yes,yes,,yes,,,,yes,yes,,,,,,,,yes,,yes,,yes,,,yes,,,,,yes,,yes,,,yes,,,
LPPL-1.3c,strong,,,,,yes,,,yes,yes,yes,,yes,,yes,yes,,yes,yes,,yes,,,,,yes,,yes,yes,,,,,,,,,yes,,yes,yes,,yes,,,
MIT,permissive,yes,,,,,,,yes,yes,yes,,yes,,,,yes,yes,,,,,,,,,,,,,,,,yes,,,,yes,,yes,yes,,yes,,,yes
MPL-1.1,weak,,yes,,,,,,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,,yes,,yes,,yes,yes,,yes,,,,yes,,yes,yes,,yes,yes,yes,yes,,yes,yes_g,yes,
MPL-2.0,weak,yes,yes,,yes,,,,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,,yes,,yes,,,,,yes,,,,yes,yes,yes,yes,,yes,yes,yes,yes,,yes,yes,yes,yes
MS-PL,weak,,,,,,,,yes,yes,yes,yes,yes,,,,yes,yes,,,,yes,,,,,,,,,,,yes,yes,,yes,,yes,yes,yes,yes,,yes,,,
MS-RL,weak,,,,,,,,yes,yes,yes,yes,yes,,,,yes,yes,,,,yes,,,,,,,yes,,,,yes,yes,,yes,,yes,yes,yes,yes,,yes,,,
OSL-3.0,strong,,,,,,,,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,,yes,,,,,,,,,,,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,
Sleepycat,weak,yes,,,,,yes,,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,,,,yes,,,yes,yes,yes,yes,,,yes,,yes,yes,,yes,,,
VOSTROM,strong,yes,,,,,,,yes,yes,yes,,yes,yes,yes,,,yes,yes,,,,,,,yes,yes,,yes,,,yes,,yes,,,,yes,,yes,,,yes,,,
W3C,permissive,yes,,,,,,,yes,yes,yes,,yes,,,yes,yes,yes,yes,,,yes,yes,,,yes,,,,,,yes,yes,,,yes,,yes,,yes,yes,,yes,,,
xpp,permissive,yes,,,,,,,yes,yes,yes,,yes,,,yes,yes,yes,,,,,,,,,,,,,,yes,,yes,yes,yes,,yes,,yes,,,yes,,,
YPL-1.1,strong,,,,,,,,yes,yes,yes,,yes,,,,,yes,,,,yes,,,,,,,yes,,,,yes,yes,,yes,,yes,,yes,,,yes,yes_g,yes,
Zlib,permissive,yes,,,,,,,yes,yes,yes,,yes,,,yes,yes,yes,,,,,,,,,yes,yes,,yes,,,yes,,,,,yes,,yes,yes,,yes,,,
ZPL-2.0,permissive,yes,,,,,,,yes,yes,yes,,yes,,,yes,yes,yes,yes,,,,,,,yes,,,,,,yes,yes,yes,yes,yes,,yes,,yes,yes,,yes,,,
LGPL-2.1-or-later,weak,yes,,,,,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,,,,,,,,yes,,,yes,yes,,,yes,yes,,,,yes,,yes,yes,,yes,,,yes
LGPL-3.0-or-later,weak,only3,,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,,,,,,yes,,,yes,yes,,,yes,yes,,,,yes,,,yes,,yes,,,yes
GPL-3.0-or-later,strong,only3,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,,yes,,,yes,yes,yes,yes,,yes,,,yes,,,yes,,,,yes,yes,yes,yes,,yes,,yes,yes,,,,,yes
